pixel	count
2149	12816
2150	12543
2151	12701
2152	12455
2153	12022
2154	11104
2155	11146
2156	11686
2157	11613
2158	11216
2159	11425
2160	10404
2161	11039
2162	11102
2163	11148
2164	10804
2165	11466
2166	10733
2167	10454
2168	10745
2169	10691
2170	10502
2171	10677
2172	10813
2173	10820
2174	10979
2175	10678
2176	10820
2177	10797
2178	11172
2179	11048
2180	11333
2181	12145
2182	9635
2183	9814
2184	9095
2185	8679
2186	7747
2187	7698
2188	7574
2189	8012
2190	7115
2191	6358
2192	6544
2193	6758
2194	7433
2195	6837
2196	6602
2197	6994
2198	6875
2199	7138
2200	7937
2201	9363
2202	8860
2203	9362
2204	10627
2205	11752
2206	12370
2207	13268
2208	13450
2209	14837
2210	18315
2211	18025
2212	18212
2213	19608
2214	19692
2215	18039
2216	16433
2217	17244
2218	18435
2219	18301
2220	18654
2221	16877
2222	18306
2223	18830
2224	19219
2225	19690
2226	19908
2227	21514
2228	21850
2229	20945
2230	21815
2231	21827
2232	21925
2233	22629
2234	22637
2235	22164
2236	24261
2237	22480
2238	24087
2239	24344
2240	24010
2241	28016
2242	28825
2243	28644
2244	28269
2245	28718
2246	30249
2247	29952
2248	29260
2249	28882
2250	27874
2251	27339
2252	26360
2253	25482
2254	25784
2255	25779
2256	24455
2257	23966
2258	23247
2259	22585
2260	22398
2261	21168
2262	21179
2263	20309
2264	19854
2265	19114
2266	18273
2267	17622
2268	16880
2269	16640
2270	15608
2271	15343
2272	14547
2273	14936
2274	14603
2275	14276
2276	13365
2277	13495
2278	13208
2279	13090
2280	12737
2281	12887
2282	12178
2283	11755
2284	12126
2285	12163
2286	12329
2287	11977
2288	11785
2289	12306
2290	10812
2291	11677
2292	11438
2293	12201
2294	10784
2295	11197
2296	11083
2297	10997
2298	11505
2299	11719
2300	10858
2301	11191
2302	11213
2303	11224
2304	11206
2305	11472
2306	11422
2307	11708
2308	11830
2309	12950
2310	10539
2311	10621
2312	10361
2313	10469
2314	8516
2315	7657
2316	7970
2317	7354
2318	7315
2319	6942
2320	6685
2321	6571
2322	7468
2323	7867
2324	7779
2325	7318
2326	8302
2327	7452
2328	6956
2329	8876
2330	9651
2331	9628
2332	10683
2333	12930
2334	13075
2335	13756
2336	15772
2337	17543
2338	19046
2339	19176
2340	20415
2341	20026
2342	20446
2343	18804
2344	17015
2345	18907
2346	19237
2347	20126
2348	18702
2349	19344
2350	20106
2351	20986
2352	21038
2353	21620
2354	21993
2355	23145
2356	21886
2357	21973
2358	22075
2359	22408
2360	23458
2361	22943
2362	24478
2363	25419
2364	24538
2365	26124
2366	26052
2367	24894
2368	27178
2369	31243
2370	24064
2371	31027
2372	30336
2373	31636
2374	33555
2375	32308
2376	32527
2377	31974
2378	31260
2379	30253
2380	29489
2381	27688
2382	28595
2383	28355
2384	27236
2385	26231
2386	25800
2387	24755
2388	23506
2389	23210
2390	22300
2391	21978
2392	21016
2393	20301
2394	18909
2395	19485
2396	18667
2397	17531
2398	17335
2399	16160
2400	16115
2401	15546
2402	15524
2403	15366
2404	14819
2405	14726
2406	13684
2407	13813
