name	lii	bii	distance
Havlen Moffat 1	348.7035	-0.7666	 3300
Pismis 7	259.0521	1.9942	 4900
Pismis 3	257.8648	0.5019	 1394
NGC 2477	253.5633	-5.8377	 1341
FSR 1755	348.2457	0.4825
NGC 2451A	252.5754	-7.2986	  189
ESO 332 20	347.4917	1.7331	 1695
BH 222	349.1268	-0.4414	 6000
Ruprecht 152	253.5395	-5.3007	 8020
ESO 314 14	263.5775	8.0784	 1870
Ruprecht 66	258.4933	2.2857	 3760
Teutsch 38	259.3792	3.4428	  900
NGC 6281	347.7306	1.9725	  479
Ruprecht 123	349.9632	-0.9749	  714
Collinder 338	351.7338	-3.3377	  880
ESO 313 11	258.5859	3.0013	 3708
NGC 2451B	252.0509	-6.7265	  302
ESO 337 23	0.4981	-21.3206	 1995
ASCC 48	257.3945	1.6154	  400
NGC 2546	254.8551	-1.9859	  919
DC 3	250.2782	-9.708	 4317
ASCC 91	353.1316	-4.9368	  800
Ruprecht 74	263.0438	8.9699	 3074
Pismis 1	255.112	-0.7112	 5907
BH 208	347.8285	3.3211	 3910
NGC 6400	352.5816	-3.2417	  950
Collinder 135	248.765	-11.1322	  316
Harvard 16	351.7364	-1.6453	 1467
BH 214	348.904	2.6082	 1723
NGC 2818	261.9795	8.5843	 1855
Turner 5	264.5368	11.125	  400
SAI 86	253.5931	-2.1173	 3030
AH03 J0822 36.4	254.9778	0.3291	  750
BH 23	254.0811	-0.9594	  480
FSR 1767	352.6009	-2.1661	 1948
Collinder 185	255.0555	0.5571	 1486
Alessi 13	238.5486	-56.9815	  100
Ruprecht 127	352.8804	-2.4977	 1466
NGC 6529	355.7071	-7.2997
NGC 2579	254.6741	0.2126	 1033
ESO 389 05	339.9142	12.9497	 4785
ESO 370 17	255.9468	2.0305	 2695
NGC 6334	351.1459	0.475	 1025
Teutsch 50	253.0184	-2.012	 3240
BH 4	249.986	-7.1296
Ruprecht 68	257.265	4.2585	 1990
BH 223	351.3112	0.6227	  414
Majaess 95	254.0558	-0.0949
ESO 393 12	353.5175	-2.2915	 8208
ASCC 45	253.6325	-0.3109	 3000
Ivanov 8	254.0122	0.2497	 3888
ASCC 88	349.8889	3.0751	 1900
Ruprecht 31	250.0882	-5.9741	  930
Bochum 13	351.2014	1.3597	 1077
ESO 371 25	258.0101	5.855	 2198
ESO 367 10	247.3384	-10.5	 3027
