hip	ecl_lon	ecl_lat	plx_diff	plx_diff_error	div	xhip_plx	xhip_plx_error	tgas_plx	tgas_plx_error
48286	152.5408449963172	-19.198722849954066	2.542848875596542	0.6241552212232934	4.074064894647145	7.98	0.58	5.437151124403458	0.2305856460846994
10360	27.601037455093408	-21.78741448490634	4.536942767423629	1.1145712311618505	4.070572288766356	11.49	1.06	6.953057232576371	0.34448371417767065
51200	142.18762308974064	29.491014699372748	-4.059272650599906	0.9972534964114846	4.070452162069912	15.13	0.34	19.189272650599907	0.9375044192455473
38965	130.600754257526	-48.48374106363103	14.766910751139255	3.63253044076461	4.065185685830336	15.47	3.59	0.7030892488607458	0.554235873145662
74970	238.4313078541488	-22.18025399316034	-3.3214361947312794	0.8170781712908295	4.065016434699309	-1.17	0.78	2.1514361947312794	0.2433448951590439
77374	241.18294521703584	-9.124610870545377	-6.155232921566198	1.514259503337852	4.064846816545209	7.64	1.46	13.795232921566198	0.4017235908544565
111953	335.3722196281172	-7.787148761097161	-2.5500795229113242	0.6273818598713752	4.064637003425852	1.96	0.48	4.510079522911324	0.40399009653166723
101368	302.6720329900134	-12.171179075698316	-4.804746232404158	1.1822829682334997	4.063956228332662	3.76	1.15	8.564746232404158	0.2743957306063904
83332	96.95764095984252	73.8973765379029	3.5800719054591212	0.8819835067017391	4.059114346533689	9.86	0.85	6.279928094540878	0.23536122470342608
61628	186.99699714921934	7.691708233058747	2.8500919397497597	0.7022311799148503	4.058623458011862	9.8	0.49	6.949908060250241	0.5030195125883318
55926	158.01348135381335	28.051828991763305	-4.1821510792026055	1.0304509400809678	4.058563990318639	-2.35	1.	1.8321510792026052	0.2486546599477883
53008	140.789865211431	40.36980326471101	9.461713455232921	2.3331807195740106	4.055285291814185	38.58	2.17	29.118286544767077	0.8572235823820407
49645	171.7998523453804	-44.81829280215481	2.625243579248151	0.6478980538999629	4.0519392880496214	7.39	0.52	4.764756420751849	0.38648659517162975
53021	161.93723580368868	-1.620734508399217	-3.5759783529492877	0.8827366283076161	4.051013901853329	4.47	0.85	8.045978352949287	0.23816791336344717
